,Precinct,Latitude,Longitude,Vote Total,Percent Dem
0,001 Seminole Community Church,28.82695199999999,-81.349542,1659,0.4333936106088005
1,002 Lighthouse Baptist Church,28.83761599999999,-81.635543,2829,0.3559561682573347
2,003 Crossings Community Church,28.8048119,-81.36462990000001,3624,0.4541942604856512
3,004 Safeharbor Christian Churc,28.7970234,-81.3171478,2448,0.6495098039215687
4,005 Westview Baptist Church,28.7873947,-81.3241384,3186,0.5160075329566854
5,006 Westside Community Center,28.8036252,-81.28848839999999,2060,0.8310679611650486
6,007 Markham Woods Presbyterian,28.7755855,-81.3818155,4042,0.33993072736269175
7,008 Courtyard by Marriott,28.757089,-81.36665699999999,1923,0.41965678627145087
8,009 Holy Cross Lutheran Church,28.7575806,-81.3533444,2458,0.45077298616761596
9,010 Lake Mary Events Center,28.76215,-81.3230639,3914,0.4690853346959632
10,011 Seminole County Health Dep,28.7739106,-81.2852905,2761,0.6117348786671496
11,012 Markham Woods SDA Church D,28.7032167,-81.3850056,2890,0.38719723183391
12,013 Church of Jesus Christ of,28.7342808,-81.3579929,3067,0.5190740136941637
13,014 Northwest Branch Library,28.734338,-81.339291,1848,0.5281385281385281
14,015 Nativity Catholic Church,28.72819,-81.319706,1261,0.4099920697858842
15,016 Lake Mary City Hall,28.7576799,-81.3231826,1941,0.5054095826893354
16,017 Seminole County Co-op Exte,28.7423712,-81.29944859999999,1423,0.43851018973998596
17,018 First Baptist Church Sweet,34.6866501,-92.2405764,2618,0.3663101604278075
18,019 Longwood Community Buildin,28.6998671,-81.34866629999999,4613,0.45848688489052675
19,020 First Baptist Church of Lo,28.698875,-81.33098199999999,3991,0.5018792282635931
20,021 West Branch Library DC,38.9038978,-77.0506151,3539,0.41085052274653855
21,022 Wekiva Presbyterian Church,28.689027,-81.407817,3633,0.47288742086429947
22,023 Neighborhood Alliance Chur,28.6979061,-81.3870647,969,0.3931888544891641
23,024 WaterStone Church,28.684107,-81.356752,4227,0.4326945824461793
24,025 Congregation Beth Am DC,38.9927514,-77.10657189999999,1650,0.4393939393939394
25,026 First Baptist Ch. Sanlando,28.6862566,-81.41230929999999,953,0.48163693599160545
26,027 Forest Lake SDA Church DC,28.670407,-81.440534,1374,0.5276564774381368
27,028 Central Church of Christ,28.674308,-81.430365,1202,0.5565723793677204
28,029 TITLE Boxing Club,28.6120917,-81.30791219999999,2446,0.562142273098937
29,030 St. Stephen Lutheran Churc,28.6872342,-81.3938242,1374,0.5007278020378457
30,036 St. Mark's Presbyterian Ch,28.682747,-81.373066,51,0.4117647058823529
31,039 Eastmonte Civic Center,28.656298,-81.36025099999999,108,0.3888888888888889
32,056 Winter Springs Senior Cent,28.7048496,-81.3089425,28,0.32142857142857145
